Pre-Layout,,,,,,Post-Layout,,,,
TT,SS,SF,FS,FF,,TT,SS,SF,FS,FF
129,129,129,129,129,,130,130,130,130,130
130,130,130,130,130,,131,131,131,131,131
131,131,131,131,131,,133,133,133,133,133
133,133,133,133,133,,134,134,134,134,134
134,134,134,134,134,,136,136,136,136,136
136,136,136,136,135,,137,137,137,137,137
137,137,137,137,137,,139,139,139,139,139
139,139,139,139,139,,140,140,140,140,140
140,140,140,140,140,,142,142,142,142,142
142,142,142,142,142,,143,143,143,143,143
143,143,143,143,143,,145,145,145,145,145
145,145,145,145,145,,146,146,146,146,146
146,146,146,146,146,,148,148,148,148,148
147,147,147,147,147,,149,149,149,149,149
149,149,149,149,149,,151,151,151,151,151
151,151,151,151,151,,152,152,152,152,152
151,151,151,151,151,,154,154,154,154,154
153,153,153,153,153,,155,155,155,155,155
155,155,155,155,155,,157,157,157,157,157
156,156,156,156,156,,158,158,158,158,158
158,158,158,158,158,,159,159,159,159,159
159,159,159,159,159,,161,161,161,161,161
161,161,161,161,161,,162,162,162,162,162
162,162,162,162,162,,164,164,164,164,164
163,163,163,163,163,,165,165,165,165,165
165,165,165,165,165,,167,167,167,167,167
166,166,166,166,166,,168,168,168,168,168
167,167,167,167,167,,169,169,169,169,169
169,169,169,169,169,,171,171,171,171,171
170,170,170,170,170,,172,172,172,172,172
171,171,171,171,171,,174,173,174,174,173
173,173,173,173,173,,175,175,175,175,175
175,175,175,175,175,,177,177,177,177,177
175,175,175,175,175,,178,178,178,178,178
177,177,177,177,177,,179,179,179,179,179
179,179,179,179,179,,181,181,181,181,181
180,180,180,180,180,,182,182,182,182,182
181,181,181,181,181,,183,183,183,183,183
183,183,183,183,183,,185,185,185,185,185
183,183,183,183,183,,186,186,186,186,186
185,185,185,185,185,,187,187,187,187,187
186,186,186,186,186,,189,189,189,189,189
187,187,187,187,187,,190,190,190,190,190
189,189,189,189,189,,191,191,191,191,191
190,190,190,190,190,,191,191,191,191,191
191,191,191,191,191,,194,194,194,194,194
193,191,191,193,193,,195,195,195,195,195
194,194,194,194,194,,196,196,196,196,196
195,195,195,195,195,,197,197,197,197,197
196,197,197,196,196,,199,199,199,199,199
197,197,198,197,197,,200,200,200,200,200
199,199,199,199,199,,201,201,201,201,201
200,200,200,200,200,,202,202,202,202,202
201,201,201,201,201,,203,203,203,203,203
202,202,202,202,202,,205,205,205,205,205
203,203,203,203,203,,206,206,206,206,206
205,205,205,205,205,,207,207,207,207,207
206,206,206,206,206,,208,208,208,208,208
207,207,207,207,207,,209,209,209,209,209
208,208,208,208,208,,210,210,210,210,210
209,209,209,209,209,,211,211,211,211,211
210,210,210,210,210,,213,213,213,213,213
211,211,211,211,211,,213,213,213,213,213
212,212,212,212,212,,215,215,215,215,215
213,213,213,213,213,,215,215,215,215,215
214,214,214,214,214,,217,217,217,217,217
215,215,215,215,215,,218,218,218,218,218
216,216,216,216,216,,219,219,219,219,219
217,217,217,217,217,,220,220,220,220,220
218,218,218,218,218,,221,221,221,221,221
219,219,219,219,219,,222,222,222,222,222
220,220,220,220,220,,223,223,223,223,223
221,221,221,221,221,,223,223,223,223,223
222,222,222,222,222,,225,225,225,225,225
223,223,223,223,223,,226,226,226,226,226
223,223,223,223,223,,226,226,226,226,226
225,225,225,225,225,,227,227,227,227,227
226,226,226,226,226,,228,228,228,228,228
226,226,227,226,226,,229,229,229,229,229
227,227,227,227,227,,230,230,230,230,230
228,228,228,228,228,,231,231,231,231,231
229,229,229,229,229,,231,231,231,231,231
230,230,230,230,230,,232,232,232,232,232
230,230,231,230,230,,233,233,233,233,233
231,231,231,231,231,,234,234,234,234,234
232,232,232,232,232,,235,235,235,235,235
233,233,233,233,233,,235,235,235,235,235
233,233,234,233,233,,236,236,236,236,236
234,234,234,234,234,,237,237,237,237,237
235,235,235,235,235,,237,237,237,237,237
235,235,235,235,235,,238,238,238,238,238
236,236,236,236,236,,239,239,239,239,239
237,237,237,237,237,,239,239,239,239,239
237,237,237,237,237,,240,240,240,240,240
238,238,238,238,238,,241,241,241,241,241
238,238,239,238,238,,241,241,241,241,241
239,239,239,239,239,,242,242,242,242,242
239,239,240,239,239,,242,242,243,242,242
240,240,240,240,240,,243,243,243,243,243
241,241,241,241,241,,243,243,244,243,243
241,241,241,241,241,,244,244,244,244,244
242,242,242,242,242,,244,244,245,244,244
242,242,242,242,242,,245,245,245,245,245
242,242,243,242,242,,245,245,246,245,245
243,243,243,243,243,,246,246,246,246,246
243,243,244,243,243,,246,246,246,246,246
244,244,244,244,244,,246,246,247,246,246
244,244,245,244,244,,247,247,247,247,247
244,244,245,244,244,,247,247,247,247,247
245,245,245,245,245,,247,247,248,247,247
245,245,246,245,245,,248,248,248,248,248
245,245,246,245,245,,248,248,249,248,248
246,246,246,246,246,,248,249,249,248,249
246,246,246,246,246,,249,249,249,249,249
246,246,247,246,246,,249,249,250,249,249
246,246,247,246,246,,249,249,250,249,249
247,247,247,247,247,,249,249,250,249,249
247,247,247,247,247,,250,250,250,250,250
247,247,247,247,247,,250,250,250,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
248,248,248,247,248,,250,250,251,250,250
248,248,248,248,248,,250,250,251,250,250
248,248,248,248,248,,250,250,251,250,250
248,248,248,248,248,,250,250,251,250,250
248,248,248,248,248,,250,251,251,250,251
248,248,248,248,248,,250,251,251,250,251
248,248,248,248,248,,250,250,251,250,250
248,248,248,248,248,,250,250,251,250,250
248,248,248,248,248,,250,250,251,250,250
248,248,248,247,248,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,251,250,250
247,247,248,247,247,,250,250,250,250,250
247,247,247,247,247,,250,250,250,250,250
247,247,247,247,247,,250,250,250,249,250
246,246,247,246,246,,249,249,250,249,249
246,246,247,246,246,,249,249,250,249,249
246,246,247,246,246,,249,249,249,249,249
246,246,246,246,246,,249,249,249,249,249
245,245,246,245,245,,248,248,249,248,248
245,245,246,245,245,,248,248,248,248,248
245,245,245,245,245,,248,248,248,248,248
245,245,245,245,245,,247,247,248,247,247
244,244,245,244,244,,247,247,247,247,247
244,244,244,244,244,,247,247,247,246,247
244,244,244,244,244,,246,246,247,246,246
243,243,244,243,243,,246,246,246,246,246
243,243,243,243,243,,245,245,246,245,245
242,242,242,242,242,,245,245,245,245,245
242,242,242,242,242,,244,244,245,244,244
241,241,242,241,241,,244,244,244,244,244
241,241,241,241,241,,244,244,244,244,244
240,240,241,240,240,,243,243,243,243,243
240,240,240,240,240,,242,242,243,242,242
239,239,240,239,239,,242,242,242,242,242
239,239,239,239,239,,241,241,242,241,241
238,238,238,238,238,,241,241,241,241,241
237,237,238,237,237,,240,240,240,240,240
237,237,237,237,237,,240,240,240,240,240
236,236,236,236,236,,239,239,239,239,239
236,236,236,236,236,,238,238,238,238,238
235,235,235,235,235,,238,238,238,238,238
234,234,234,234,234,,237,237,237,237,237
234,234,234,234,234,,236,236,236,236,236
233,233,233,233,233,,236,236,236,236,236
232,232,232,232,232,,235,235,235,235,235
232,232,232,232,232,,234,234,234,234,234
231,231,231,231,231,,233,233,233,233,233
230,230,230,230,230,,233,233,233,233,233
229,229,229,229,229,,232,232,232,232,232
228,228,228,228,228,,231,231,231,231,231
228,228,228,228,228,,230,230,230,230,230
227,227,227,227,227,,229,229,229,229,229
226,226,226,226,226,,228,228,228,228,228
225,225,225,225,225,,228,228,228,228,228
224,224,224,224,224,,227,227,227,227,227
224,224,224,224,224,,226,226,226,226,226
222,222,222,222,222,,225,225,225,225,225
221,221,221,221,221,,224,224,224,224,224
220,220,221,220,220,,223,223,223,223,223
220,220,220,220,220,,222,222,222,222,222
219,219,219,219,219,,221,221,221,221,221
218,218,218,218,218,,220,220,220,220,220
217,217,217,217,217,,219,219,219,219,219
216,216,216,216,216,,218,218,218,218,218
215,215,215,215,215,,217,217,217,217,217
214,214,214,214,214,,216,216,216,216,216
213,213,213,213,213,,215,215,215,215,215
212,212,212,212,212,,214,214,214,214,214
210,210,210,210,210,,213,213,213,213,213
210,210,210,209,209,,212,212,212,212,212
208,208,208,208,208,,211,211,211,211,211
208,208,208,208,208,,210,210,210,210,210
206,206,206,206,206,,208,208,208,208,208
205,205,205,205,205,,208,208,208,208,208
204,204,204,204,204,,206,206,206,206,206
203,203,203,203,203,,205,205,205,205,205
202,202,202,202,202,,204,204,204,204,204
200,200,200,200,200,,203,203,203,203,203
200,200,200,200,200,,202,202,202,202,202
198,198,198,198,198,,200,200,200,200,200
197,197,197,197,197,,199,199,199,199,199
196,196,196,196,196,,198,198,198,198,198
194,194,194,194,194,,197,197,197,197,197
193,193,193,193,193,,196,196,196,196,196
192,192,192,192,192,,194,194,194,194,194
191,191,191,191,191,,193,193,193,193,193
189,189,189,189,189,,192,191,191,192,191
188,188,188,188,188,,190,190,190,190,190
187,187,187,187,187,,189,189,189,189,189
186,186,186,186,186,,188,188,188,188,188
184,184,184,184,184,,186,186,186,186,186
183,183,183,183,183,,185,185,185,185,185
182,182,182,182,182,,184,184,184,184,184
180,180,180,180,180,,182,182,182,182,182
179,179,179,179,179,,181,181,181,181,181
178,178,178,178,178,,180,180,180,180,180
176,176,176,176,176,,178,178,178,178,178
175,175,175,175,175,,177,177,177,177,177
174,174,174,174,174,,176,176,176,176,176
172,172,172,172,172,,174,174,174,174,174
171,171,171,171,171,,173,173,173,173,173
170,170,170,170,170,,171,171,171,171,171
168,168,168,168,168,,170,170,170,170,170
167,167,167,167,167,,168,168,168,168,168
165,165,165,165,165,,168,168,168,168,168
164,164,164,164,164,,166,166,166,166,166
162,162,162,162,162,,164,164,164,164,164
161,161,161,161,161,,163,163,163,163,163
160,160,160,160,160,,162,162,162,162,162
158,158,158,158,158,,160,160,160,160,160
157,157,157,157,157,,160,160,160,160,160
155,155,155,155,155,,157,157,157,157,157
154,154,154,154,154,,156,156,156,156,156
152,152,152,152,152,,154,154,154,154,154
151,151,151,151,151,,153,153,153,153,153
150,150,150,150,150,,151,151,151,151,151
148,148,148,148,148,,150,150,150,150,150
147,147,146,147,147,,148,148,148,148,148
145,145,145,145,145,,147,147,147,147,147
144,144,144,144,144,,145,145,145,145,145
142,142,142,142,142,,144,144,144,144,144
141,141,141,141,141,,142,142,142,142,142
139,139,139,139,139,,141,141,141,141,141
138,138,138,138,138,,139,139,139,139,139
136,136,136,136,136,,138,138,138,138,138
135,135,135,135,135,,136,136,136,136,136
133,133,133,133,133,,135,135,135,135,135
132,132,132,132,132,,133,133,133,133,133
130,130,130,130,130,,132,132,132,132,132
129,129,129,129,129,,130,130,130,130,130
128,128,128,128,128,,129,129,129,129,129
128,128,128,126,126,,128,128,128,128,128
124,124,124,124,124,,126,126,126,126,126
123,123,123,123,123,,128,128,128,128,128
122,122,122,122,122,,123,123,123,123,123
120,120,120,120,120,,122,128,128,122,128
119,119,119,119,119,,120,120,120,120,120
117,117,117,117,117,,118,118,118,118,118
116,116,116,116,116,,117,117,117,117,117
114,114,114,114,114,,116,116,116,116,116
113,113,113,113,113,,114,114,114,114,114
112,112,112,112,112,,112,112,112,112,112
110,110,110,110,110,,112,112,112,112,112
108,108,108,108,108,,110,110,110,110,110
107,107,107,107,107,,108,108,108,108,108
106,106,106,106,105,,107,107,107,107,107
104,104,104,104,104,,105,105,105,105,105
102,102,102,102,102,,104,104,104,104,104
101,101,101,101,101,,102,102,102,102,102
100,100,100,100,100,,101,101,101,101,101
98,98,98,98,98,,100,100,100,100,100
97,97,97,97,97,,98,98,98,98,98
96,96,96,96,96,,96,96,96,96,96
94,94,94,94,94,,96,96,96,96,96
92,92,92,92,92,,94,94,94,94,94
91,91,91,91,91,,92,92,92,92,92
90,90,90,90,90,,91,91,91,91,91
88,88,88,88,88,,89,89,89,89,89
87,87,87,87,87,,88,88,88,88,88
86,86,86,86,86,,86,86,86,86,86
84,84,84,84,84,,85,85,85,85,85
83,83,83,83,83,,84,84,84,84,84
81,81,81,81,81,,82,82,82,82,82
80,80,80,80,80,,81,81,81,81,81
79,79,79,79,79,,80,80,80,80,80
77,77,77,77,77,,78,78,78,78,78
76,76,76,76,76,,77,77,77,77,77
75,75,75,75,75,,76,76,76,76,76
73,73,73,73,73,,74,74,74,74,74
72,72,72,72,72,,73,73,73,73,73
71,71,71,71,71,,72,72,72,72,72
69,69,69,69,69,,70,70,70,70,70
68,68,68,68,68,,69,69,69,69,69
67,67,67,67,67,,68,68,68,68,68
66,66,66,66,66,,66,66,66,66,66
64,64,64,64,64,,65,65,65,65,65
64,64,64,63,64,,64,64,64,64,64
62,62,62,62,62,,62,62,64,62,62
60,60,60,60,60,,61,61,61,61,61
59,59,59,59,59,,60,60,60,60,60
58,58,58,58,58,,59,59,59,59,59
57,57,57,57,57,,58,58,58,58,58
56,56,56,56,56,,56,56,56,56,56
54,54,54,54,54,,55,55,55,55,55
53,53,53,53,53,,54,54,54,54,54
52,52,52,52,52,,53,53,53,53,53
51,51,51,51,51,,52,52,52,52,52
50,50,50,50,50,,50,50,50,50,50
49,49,49,49,49,,49,49,49,49,49
48,48,48,48,48,,48,48,48,48,48
46,46,46,46,46,,47,47,47,47,47
45,45,45,45,45,,46,46,46,46,46
44,44,44,44,44,,45,45,45,45,45
43,43,43,43,43,,44,44,44,44,44
42,42,42,42,42,,43,43,43,43,43
41,41,41,41,41,,42,42,42,42,42
40,40,40,40,40,,40,40,40,40,40
39,39,39,39,39,,40,40,40,40,40
38,38,38,38,38,,38,38,38,38,38
37,37,37,37,37,,38,38,38,38,38
36,36,36,36,36,,36,36,36,36,36
35,35,35,35,35,,36,36,36,36,36
34,34,34,34,34,,35,35,35,35,35
33,33,33,33,33,,34,34,34,34,34
32,32,32,32,32,,33,33,33,33,33
32,32,32,32,32,,32,32,32,32,32
31,31,31,31,31,,31,32,31,32,32
30,30,30,30,30,,30,30,30,30,30
29,29,29,29,29,,29,29,29,29,29
28,28,28,28,28,,28,28,28,28,28
27,27,27,27,27,,28,28,28,28,28
26,26,26,26,26,,27,27,27,27,27
26,26,26,26,26,,26,26,26,26,26
25,25,25,25,25,,25,25,25,25,25
24,24,24,24,24,,24,24,24,24,24
23,23,23,23,23,,24,24,24,24,24
22,22,22,22,22,,23,23,23,23,23
22,22,22,22,22,,22,22,22,22,22
21,21,21,21,21,,21,21,21,21,21
20,20,20,20,20,,20,20,20,20,20
20,20,20,20,20,,20,20,20,20,20
19,19,19,19,19,,19,19,19,19,19
18,18,18,18,18,,19,19,19,19,19
18,18,18,18,18,,18,18,18,18,18
17,17,17,17,17,,17,17,17,17,17
16,16,16,16,16,,17,17,17,17,17
16,16,16,16,16,,16,16,16,16,16
16,16,16,16,16,,16,16,16,16,16
15,15,15,15,15,,15,15,15,15,15
14,14,14,14,14,,14,14,14,14,14
14,14,14,14,14,,14,14,14,14,14
13,13,13,13,13,,14,14,14,14,14
13,13,13,13,13,,13,13,13,13,13
12,12,12,12,12,,12,12,12,12,12
12,12,12,12,12,,12,12,12,12,12
12,12,12,12,12,,12,12,12,12,12
11,11,11,11,11,,11,11,11,11,11
11,11,11,11,11,,11,11,11,11,11
10,10,10,10,10,,10,10,10,10,10
10,10,10,10,10,,10,10,10,10,10
10,10,10,10,10,,10,10,10,10,10
9,9,9,9,9,,9,9,9,9,9
9,9,9,9,9,,9,9,9,9,9
9,9,9,9,9,,9,9,9,9,9
8,8,8,8,8,,8,8,9,8,8
8,8,8,8,8,,8,8,8,8,8
8,8,8,8,8,,8,8,8,8,8
8,8,8,8,8,,8,8,8,8,8
8,8,8,8,8,,8,8,8,8,8
8,8,8,7,8,,8,8,8,8,8
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,7,7,7
7,7,7,7,7,,7,7,8,7,7
8,8,8,7,8,,8,8,8,8,8
8,8,8,8,8,,8,8,8,8,8
8,8,8,8,8,,8,8,8,8,8
8,8,8,8,8,,8,8,8,8,8
8,8,8,8,8,,8,8,8,8,8
9,9,9,8,9,,9,9,9,9,9
9,9,9,9,9,,9,9,9,9,9
9,9,9,9,9,,9,9,9,9,9
9,9,10,9,9,,10,10,10,9,10
10,10,10,10,10,,10,10,10,10,10
10,10,10,10,10,,10,10,10,10,10
11,11,11,11,11,,11,11,11,11,11
11,11,11,11,11,,11,11,11,11,11
11,11,11,11,11,,11,11,11,11,11
12,12,12,12,12,,12,12,12,12,12
12,12,12,12,12,,12,12,12,12,12
13,13,13,13,13,,13,13,13,13,13
13,13,13,13,13,,13,13,13,13,13
14,14,14,14,14,,14,14,14,14,14
14,14,14,14,14,,14,14,14,14,14
15,15,15,15,15,,15,15,15,15,15
15,15,15,15,15,,15,15,15,15,15
16,16,16,16,16,,16,16,16,16,16
16,16,16,16,16,,16,16,16,16,16
17,17,17,17,17,,17,17,17,17,17
17,17,17,17,17,,18,18,18,18,18
18,18,18,18,18,,18,18,18,18,18
19,19,19,19,19,,19,19,19,19,19
19,19,19,19,19,,20,20,20,20,20
20,20,20,20,20,,20,20,20,20,20
21,21,21,21,21,,21,21,21,21,21
22,22,22,22,22,,22,22,22,22,22
22,22,22,22,22,,23,23,23,23,23
23,23,23,23,23,,23,23,23,23,23
23,23,23,23,23,,24,24,24,24,24
24,24,24,24,24,,25,25,25,25,25
25,25,25,25,25,,25,25,25,25,25
26,26,26,26,26,,26,26,26,26,26
27,27,27,27,27,,27,27,27,27,27
28,28,28,28,28,,28,28,28,28,28
29,29,29,29,29,,29,29,29,29,29
29,29,29,29,29,,30,30,30,30,30
30,30,30,30,30,,31,31,31,31,31
31,31,31,31,31,,31,31,31,31,31
32,32,32,32,32,,32,32,32,32,32
33,33,33,33,33,,33,33,33,33,33
34,34,34,34,34,,34,34,34,34,34
35,35,35,35,35,,35,35,35,35,35
36,36,36,36,36,,36,36,36,36,36
37,37,37,37,37,,37,37,37,37,37
38,38,38,38,38,,38,38,38,38,38
39,39,39,39,39,,39,39,39,39,39
40,40,40,40,40,,40,40,40,40,40
41,41,41,41,41,,41,41,41,41,41
42,42,42,42,42,,42,42,42,42,42
43,43,43,43,43,,43,43,43,43,43
44,44,44,44,44,,44,44,44,44,44
45,45,45,45,45,,45,45,45,45,45
46,46,46,46,46,,47,47,47,47,47
47,47,47,47,47,,47,47,47,47,47
48,48,48,48,48,,49,49,49,49,49
49,49,49,49,49,,50,50,50,50,50
51,51,51,51,51,,51,51,51,51,51
52,52,52,52,52,,52,52,52,52,52
53,53,53,53,53,,53,53,53,53,53
54,54,54,54,54,,55,55,55,55,55
55,55,55,55,55,,55,55,55,55,55
56,56,56,56,56,,57,57,57,57,57
58,58,58,58,58,,58,58,58,58,58
59,59,59,59,59,,59,59,59,59,59
60,60,60,60,60,,61,61,61,61,61
61,61,61,61,61,,62,62,62,62,62
63,63,63,63,63,,63,63,63,63,63
63,63,63,63,63,,65,65,65,63,65
65,65,65,65,65,,66,66,66,66,66
66,66,66,66,66,,67,67,67,67,67
67,67,67,67,67,,68,68,68,68,68
69,69,69,69,69,,70,70,70,70,70
70,70,70,70,70,,71,71,71,71,71
71,71,71,71,71,,72,72,72,72,72
73,73,73,73,73,,74,74,74,74,74
74,74,74,74,74,,75,75,75,75,75
75,75,75,75,75,,76,76,76,76,76
77,77,77,77,77,,78,78,78,78,78
78,78,78,78,78,,79,79,79,79,79
79,79,79,79,79,,80,80,80,80,80
81,81,81,81,81,,82,82,82,82,82
82,82,82,82,82,,83,83,83,83,83
83,83,83,83,83,,85,85,85,85,85
85,85,85,85,85,,86,86,86,86,86
86,86,86,86,86,,87,87,87,87,87
87,87,87,87,87,,89,89,89,89,89
89,89,89,89,89,,90,90,90,90,90
91,91,91,91,91,,91,91,91,91,91
92,92,92,92,92,,93,93,93,93,93
93,93,93,93,93,,95,95,95,95,95
95,95,95,95,95,,95,95,95,95,95
95,95,95,95,95,,97,97,97,97,97
98,98,98,98,98,,99,99,99,99,99
99,99,99,99,99,,100,100,100,100,100
101,101,101,101,101,,102,102,102,102,102
102,102,102,102,102,,103,103,103,103,103
103,103,103,103,103,,105,105,105,105,105
105,105,105,105,105,,106,106,106,106,106
106,106,106,106,106,,107,107,107,107,107
108,108,108,108,108,,109,109,109,109,109
109,109,109,109,109,,111,111,111,111,111
111,111,111,111,111,,111,111,111,111,111
112,112,112,112,112,,113,113,113,113,113
114,114,114,114,114,,115,115,115,115,115
115,115,115,115,115,,117,117,117,117,117
117,117,117,117,117,,118,118,118,118,118
118,118,118,118,118,,119,119,119,119,119
119,119,119,119,119,,121,121,121,121,121
121,121,121,121,121,,122,122,122,122,122
123,123,123,123,123,,124,128,128,124,128
124,124,124,124,124,,125,125,125,125,125
125,125,125,125,125,,128,128,128,128,128
127,128,128,127,127,,127,127,127,127,127
